"arquivo_origem","tipo","dimensoes","proporcao","transparencia","contexto_no_site","uso_sugerido","recorte_necessario","risco_de_direitos","observacoes"
"public/brands/banal/banal-brand-showcase.jpg","imagem","1536x1024","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-founder-scene.jpg","imagem","1536x1024","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-guideline-board.jpg","imagem","1672x941","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-identity-board.jpg","imagem","1672x941","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-identity-dark.jpg","imagem","1774x887","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-manifesto-board.jpg","imagem","1024x1536","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-refined-identity.jpg","imagem","1254x1254","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-symbol-minimal.jpg","logotipo/simbolo","1254x1254","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/banal-symbol-primary.jpg","logotipo/simbolo","1254x1254","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/media/banal-fly-loop.mp4","video","","","não","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/media/banal-logo-balanced.png","logotipo/simbolo","1260x329","","possível","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/banal/media/banal-logo-horizontal-transparent.png","logotipo/simbolo","1536x1024","","possível","BANAL","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/backgrounds/verde-burgo-bg-case-cover.jpg","imagem","2560x1440","","não","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/backgrounds/verde-burgo-bg-hero-branco-neve.jpg","imagem","2560x1440","","não","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/backgrounds/verde-burgo-bg-hero-verde.jpg","imagem","2560x1440","","não","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/elements/verde-burgo-paleta.png","imagem","1024x1024","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/elements/verde-burgo-slogan.png","imagem","500x500","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/icons/verde-burgo-icon-principal.png","imagem","1024x1024","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/logos/verde-burgo-logo-balanced.png","logotipo/simbolo","981x936","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/logos/verde-burgo-logo-principal.png","logotipo/simbolo","1024x1024","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/brands/verde-burgo/media/verdeburgo-in-development-hoop-loop.mp4","video","","","não","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/favicon.svg","imagem","","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/icons.svg","imagem","","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/favicon-sp-white.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/logo-full-transparent.png","logotipo/simbolo","2508x2508","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/logo-full.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/logo-signature-transparent.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/logo-signature.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/symbol-black-navbar.png","logotipo/simbolo","717x871","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/symbol-black-transparent.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/symbol-black.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/symbol-white-transparent.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/00_LOGOS/symbol-white.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_02.png","imagem","1672x941","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
