"id","categoria","afirmacao","origem","evidencia","confianca","uso_recomendado","observacoes"
"E001","identidade","Samuel Carrera Paes e Paes Consultoria são as entidades centrais do site.","index.html; src/App.jsx","Title, meta description, JSON-LD e hero usam Samuel Carrera Paes / Paes Consultoria.","alto","publicar",""
"E002","proposta","A atuação pública reúne direção criativa, imagem, espaço, eventos, varejo, cenografia, campanhas e experiências.","index.html","Meta description pública do site.","alto","publicar",""
"E003","arquitetura","A estrutura pública atual é Início, Visão, Portfólio, Sistema/Biblioteca e Contato.","README.md; DOCUMENTO_APP.md; src/App.jsx","Documentação e navegação principal.","alto","publicar",""
"E004","portfolio","O portfólio possui 12 cases públicos estruturados.","src/data/cases.js","Val Fortunatto — Brand Transition; Val Fortunatto Linho — Produto Próprio; Ateliê Bambini — Arquitetura de Marca Infantil; R Lovers — Calendário Comercial; PORTI — Expansão Física & Cenografia; HEXA — Copa do Mundo · Reserva; Campanhas & Collabs; Rouge & Gold — Exposição Premium; Outerwear — Hotspots & Color Blocking; Vintage Denim — Cápsula Heritage; Paraíso Tropical — Mata Atlântica; Provence Raiz — Sistema Visual e Direção Criativa","alto","publicar",""
"E005","biblioteca","A Biblioteca/Sistema possui 6 artigos autorais.","src/sistemaArticleCards.js","A gramática invisível da marca; A edição que dá valor à escolha; A loja como argumento; O valor que o corpo reconhece; A disciplina que sustenta a forma; A coreografia do desejo","alto","publicar",""
"E006","area","Direção criativa contém 12 cases relacionados.","src/data/practiceAreas.js","Conceito, repertório e decisões capazes de alinhar linguagem, contexto e execução.","alto","publicar",""
"E007","area","Identidade e sistemas visuais contém 4 cases relacionados.","src/data/practiceAreas.js","Estruturas visuais consistentes para marcas e experiências reconhecíveis em diferentes escalas.","alto","publicar",""
"E008","area","Campanhas e colaborações contém 7 cases relacionados.","src/data/practiceAreas.js","Narrativas que conectam cultura, produto e imagem sem apagar a identidade de cada universo.","alto","publicar",""
"E009","area","Varejo e visual merchandising contém 11 cases relacionados.","src/data/practiceAreas.js","Curadoria, exposição e percurso orientados à atenção, ao desejo e à percepção de valor.","alto","publicar",""
"E010","area","Cenografia e experiência física contém 10 cases relacionados.","src/data/practiceAreas.js","Espaço, matéria e luz organizados como linguagem, percurso e memória.","alto","publicar",""
"E011","area","Eventos e hospitalidade contém 1 cases relacionados.","src/data/practiceAreas.js","Atmosferas em que acolhimento, operação e identidade sustentam uma experiência completa.","alto","publicar",""
